OBJECTID,ZIPNAME,ZIPNUM,ZIPCODE,NAME,SHAPEAREA,SHAPELEN,LAST_EDITED_DATE
4927,RALEIGH,27601,RALEIGH 27601,RALEIGH,50755302.5612304,43034.5387445613,
4928,DURHAM,27713,DURHAM 27713,DURHAM,9440599.68511529,22633.6445394662,
5185,RALEIGH,27604,RALEIGH 27604,RALEIGH,567850079.579057,201307.097948282,
5186,WAKE FOREST,27587,WAKE FOREST 27587,WAKE FOREST,2682834378.44239,561415.191124234,2017/10/25 15:38:04+00
5187,DURHAM,27703,DURHAM 27703,DURHAM,5768992.11778858,22448.0099334523,
5188,ROLESVILLE,27571,ROLESVILLE 27571,ROLESVILLE,211951186.737232,117527.52793741,2017/10/25 15:37:57+00
5189,KNIGHTDALE,27545,KNIGHTDALE 27545,KNIGHTDALE,48199380.7906795,29371.0201865502,
5190,DURHAM,27713,DURHAM 27713,DURHAM,768935.759563422,3537.88281473144,
5191,RALEIGH,27603,RALEIGH 27603,RALEIGH,1370200682.6402,311203.125324474,
5192,WAKE FOREST,27587,WAKE FOREST 27587,WAKE FOREST,0.148193411348032,2.03736152632329,
5193,CREEDMOOR,27522,CREEDMOOR 27522,CREEDMOOR,310939679.448407,106054.403690933,
5194,YOUNGSVILLE,27596,YOUNGSVILLE 27596,YOUNGSVILLE,33403230.898174,31328.2197905904,
5195,RALEIGH,27615,RALEIGH 27615,RALEIGH,526975143.251424,152774.32909538,2018/01/22 13:33:55+00
5196,YOUNGSVILLE,27596,YOUNGSVILLE 27596,YOUNGSVILLE,58953661.9296724,36862.7226612462,
5197,RALEIGH,27616,RALEIGH 27616,RALEIGH,636987441.292134,200568.558620256,
5198,RALEIGH,27612,RALEIGH 27612,RALEIGH,424176359.986577,151329.134138072,
5199,WENDELL,27591,WENDELL 27591,WENDELL,1324757382.6253,257124.621940335,2018/01/22 13:29:24+00
5200,RALEIGH,27609,RALEIGH 27609,RALEIGH,303780516.916936,101063.786218269,
5201,RALEIGH,27605,RALEIGH 27605,RALEIGH,26940601.3107682,34318.0567855243,
5202,APEX,27502,APEX 27502,APEX,653942061.862322,155032.552548766,
5203,GARNER,27529,GARNER 27529,GARNER,1103342317.57873,207891.464309853,2017/06/06 16:52:35+00
5204,KNIGHTDALE,27545,KNIGHTDALE 27545,KNIGHTDALE,851692224.335087,201836.498583737,2018/01/22 13:29:33+00
5205,RALEIGH,27608,RALEIGH 27608,RALEIGH,95692927.2906638,63002.886678991,
5206,RALEIGH,27610,RALEIGH 27610,RALEIGH,1197259556.15747,321864.869599681,2017/06/14 16:06:45+00
5207,CLAYTON,27520,CLAYTON 27520,CLAYTON,75642026.2796553,55140.2521499875,2017/05/08 13:10:35+00
5208,ANGIER,27501,ANGIER 27501,ANGIER,594306.751856916,3221.28189807736,
5209,RALEIGH,27613,RALEIGH 27613,RALEIGH,601650901.042172,165248.700920787,2018/04/03 17:24:23+00
5210,RALEIGH,27614,RALEIGH 27614,RALEIGH,819560694.043757,227392.627644793,2018/01/22 13:33:47+00
5211,CARY,27518,CARY 27518,CARY,277435075.506373,130472.839749671,
5212,APEX,27523,APEX 27523,APEX,354236151.197887,160166.140475595,2018/04/18 16:05:00+00
5213,RALEIGH,27617,RALEIGH 27617,RALEIGH,258118919.957402,114284.066780205,2018/04/03 17:24:35+00
5214,ZEBULON,27597,ZEBULON 27597,ZEBULON,1382067564.16817,236265.473471412,
5215,CARY,27511,CARY 27511,CARY,326434885.695621,90583.3413450928,
5216,CARY,27519,CARY 27519,CARY,560499700.833187,138561.707918283,2018/04/18 15:56:17+00
5217,CARY,27513,CARY 27513,CARY,515703554.474711,202319.187682332,2018/04/04 08:51:38+00
5218,RALEIGH,27607,RALEIGH 27607,RALEIGH,502422265.05763,232521.542842719,2017/07/14 13:05:30+00
5219,RALEIGH,27606,RALEIGH 27606,RALEIGH,719316050.003269,227127.690347138,
5220,MORRISVILLE,27560,MORRISVILLE 27560,MORRISVILLE,654692295.177914,201227.275223279,2017/06/09 13:38:39+00
5221,CARY,27519,CARY 27519,CARY,11968736.1443892,19539.1424622116,
5222,RALEIGH,27614,RALEIGH 27614,RALEIGH,3920281.41616216,8610.26289299432,2017/05/17 08:54:53+00
5223,APEX,27539,APEX 27539,APEX,800370008.966821,335399.611530055,2018/04/18 15:53:57+00
5224,FUQUAY VARINA,27526,FUQUAY VARINA 27526,FUQUAY VARINA,14013892.4576428,20236.2105773375,2017/10/18 11:24:24+00
5225,,,,,7.43431462658349,386.812123913987,
5226,,,,,3.89520789410339,36.3487217566597,
5227,,,,,1.75240810003212,21.0255823044099,
5228,,,,,0.0400652370666273,1.75607593407611,
5229,,,,,9.28306320269906,120.230800801453,
5230,,,,,0.555755766795176,157.414777872053,
5231,,,,,6.29884847253252,39.7004836940961,
5232,,,,,2.93091033633925,18.9064232989742,
5233,,,,,11.4214816530182,1193.92874730153,
5234,,,,,0.35375464513892,515.164457213877,
5235,,,,,574.83749037427,4086.41728332333,
5236,RALEIGH,27604,RALEIGH 27604,RALEIGH,3.42108727523627,16.3809274269324,
5237,NEW HILL,27562,NEW HILL 27562,NEW HILL,768060615.832925,134473.335355645,
5238,ANGIER,27501,ANGIER 27501,ANGIER,15072723.436058,19901.4701760339,
5239,WILLOW SPRING,27592,WILLOW SPRING 27592,WILLOW SPRING,658829317.314577,210804.644937377,
5240,FUQUAY VARINA,27526,FUQUAY VARINA 27526,FUQUAY VARINA,1090637892.56646,308506.919711673,
5241,HOLLY SPRINGS,27540,HOLLY SPRINGS 27540,HOLLY SPRINGS,1000737597.65707,294713.914908626,
5242,HOLLY SPRINGS,27540,HOLLY SPRINGS 27540,HOLLY SPRINGS,71717.1041468956,1165.61987198487,
5243,HOLLY SPRINGS,27540,HOLLY SPRINGS 27540,HOLLY SPRINGS,3915017.38786554,8284.86451380217,
5244,WILLOW SPRING,27592,WILLOW SPRING 27592,WILLOW SPRING,0.0400613376746201,3.63946287040558,
5245,RALEIGH,27612,RALEIGH 27612,RALEIGH,108.766992013154,153.494274965336,
5246,RALEIGH,27613,RALEIGH 27613,RALEIGH,0.101909463229821,18.1706295827276,2018/04/03 17:24:23+00
5247,RALEIGH,27603,RALEIGH 27603,RALEIGH,224812.403216125,1975.92332510835,
5248,RALEIGH,27603,RALEIGH 27603,RALEIGH,1.45793633756362,360.877082291726,
